timestamp,round,call_index,buyer_label,buyer_key_prefix,counterparty_label,service_name,metadata_sent,requirements_sent,negotiation_id,order_id,amount_usdc,status,error_detail,delivery_preview,notes
2026-06-29T16:08:06.778947+00:00,A,1,Orchestrator,croo_sk_7b92c0d0f9c2,LedgerOps,trust_score_lookup,trust:83739384-fb06-437e-9cd7-0e1f5c8ea464,"Trust score report on a potential subagent (SecondaryBuyer) before Orchestrator assigns them a data-processing task. Need completion rate, dispute rate, and buyer diversity.",,,,error,"APIError: croo: PROVIDER_NOT_ACCEPTING_ORDERS (code=400, http=400): provider is not accepting new orders",,Orchestrator vets SecondaryBuyer before engaging them. Pre-hire due diligence on counterparty. Buyer: Orchestrator wallet -> Provider: LedgerOps.
2026-06-29T16:08:38.524692+00:00,A,2,SecondaryBuyer,croo_sk_2220ad187b2a,LedgerOps,trust_score_lookup,trust:34ee2d7d-6812-48a7-99fc-d743c044827b,Trust score report on Orchestrator agent before accepting work orders from them. Need to verify completion rate and dispute history.,,,,error,"APIError: croo: PROVIDER_NOT_ACCEPTING_ORDERS (code=400, http=400): provider is not accepting new orders",,"SecondaryBuyer checks Orchestrator's reputation before agreeing to be hired. 2nd distinct buyer wallet transacting with LedgerOps. Mutual due-diligence, not just one-directional."
2026-06-29T16:16:34.481411+00:00,A,1,Orchestrator,croo_sk_7b92c0d0f9c2,LedgerOps,trust_score_lookup,trust:83739384-fb06-437e-9cd7-0e1f5c8ea464,"{""task"": ""Trust score report on a potential subagent (SecondaryBuyer) before Orchestrator assigns them a data-processing task. Need completion rate, dispute rate, and buyer diversity.""}",,,,error,"APIError: croo: INVALID_PARAMETERS (code=400, http=400): metadata must be valid JSON",,Orchestrator vets SecondaryBuyer before engaging them. Pre-hire due diligence on counterparty. Buyer: Orchestrator wallet -> Provider: LedgerOps.
2026-06-29T16:17:06.030931+00:00,A,2,SecondaryBuyer,croo_sk_2220ad187b2a,LedgerOps,trust_score_lookup,trust:34ee2d7d-6812-48a7-99fc-d743c044827b,"{""task"": ""Trust score report on Orchestrator agent before accepting work orders from them. Need to verify completion rate and dispute history.""}",,,,error,"APIError: croo: INVALID_PARAMETERS (code=400, http=400): metadata must be valid JSON",,"SecondaryBuyer checks Orchestrator's reputation before agreeing to be hired. 2nd distinct buyer wallet transacting with LedgerOps. Mutual due-diligence, not just one-directional."
2026-06-29T16:23:47.167489+00:00,A,1,Orchestrator,croo_sk_7b92c0d0f9c2,LedgerOps,trust_score_lookup,"{""command"": ""trust"", ""target"": ""83739384-fb06-437e-9cd7-0e1f5c8ea464""}","{""task"": ""Trust score report on a potential subagent (SecondaryBuyer) before Orchestrator assigns them a data-processing task. Need completion rate, dispute rate, and buyer diversity.""}",614fffff-8d2e-44df-bd21-f44fb1db247a,,,timeout,Provider did not accept within 120s,,Orchestrator vets SecondaryBuyer before engaging them. Pre-hire due diligence on counterparty. Buyer: Orchestrator wallet -> Provider: LedgerOps.
2026-06-29T19:58:48.694384+00:00,A,1,Orchestrator,croo_sk_7b92c0d0f9c2,LedgerOps,trust_score_lookup,"{""command"": ""trust"", ""target"": ""83739384-fb06-437e-9cd7-0e1f5c8ea464""}","{""task"": ""Trust score report on a potential subagent (SecondaryBuyer) before Orchestrator assigns them a data-processing task. Need completion rate, dispute rate, and buyer diversity.""}",06254bcd-0fd4-43bb-b680-49e3fd3ee920,,,error,"APIError: croo: INVALID_PARAMETERS (code=400, http=400): role must be 'buyer' or 'provider'",,Orchestrator vets SecondaryBuyer before engaging them. Pre-hire due diligence on counterparty. Buyer: Orchestrator wallet -> Provider: LedgerOps.
2026-06-29T19:59:31.530419+00:00,A,2,SecondaryBuyer,croo_sk_2220ad187b2a,LedgerOps,trust_score_lookup,"{""command"": ""trust"", ""target"": ""34ee2d7d-6812-48a7-99fc-d743c044827b""}","{""task"": ""Trust score report on Orchestrator agent before accepting work orders from them. Need to verify completion rate and dispute history.""}",51345d70-dfaa-41db-b123-7ff8f8208370,,,error,"APIError: croo: INVALID_PARAMETERS (code=400, http=400): role must be 'buyer' or 'provider'",,"SecondaryBuyer checks Orchestrator's reputation before agreeing to be hired. 2nd distinct buyer wallet transacting with LedgerOps. Mutual due-diligence, not just one-directional."
2026-06-29T20:28:36.965635+00:00,A,1,Orchestrator,croo_sk_7b92c0d0f9c2,LedgerOps,trust_score_lookup,"{""command"": ""trust"", ""target"": ""83739384-fb06-437e-9cd7-0e1f5c8ea464""}","{""task"": ""Trust score report on a potential subagent (SecondaryBuyer) before Orchestrator assigns them a data-processing task. Need completion rate, dispute rate, and buyer diversity.""}",e65a2663-d43e-4f05-a93a-d30ed1a0be6e,8aa6f01f-5bdc-47e5-892c-1706b2adaa9a,,timeout,No delivery within 180s,,Orchestrator vets SecondaryBuyer before engaging them. Pre-hire due diligence on counterparty. Buyer: Orchestrator wallet -> Provider: LedgerOps.
2026-06-29T20:32:20.560815+00:00,A,2,SecondaryBuyer,croo_sk_2220ad187b2a,LedgerOps,trust_score_lookup,"{""command"": ""trust"", ""target"": ""34ee2d7d-6812-48a7-99fc-d743c044827b""}","{""task"": ""Trust score report on Orchestrator agent before accepting work orders from them. Need to verify completion rate and dispute history.""}",7471012d-9070-4e62-ac1a-f0929f2f302e,f1553ee1-b130-4eb3-8c7c-9bd89f0e7b57,,timeout,No delivery within 180s,,"SecondaryBuyer checks Orchestrator's reputation before agreeing to be hired. 2nd distinct buyer wallet transacting with LedgerOps. Mutual due-diligence, not just one-directional."
